PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Luke Kennard,MEM,MEM vs. POR,11/25/2024,W,22,11,3,6,50.0,2,5,40.0,3,3,100,1,1,2,3,0,1,0,0,14,20.9
Jonathan Mogbo,TOR,TOR @ DET,11/25/2024,L,12,5,2,3,66.7,1,1,100,0,0,-,2,1,3,1,0,0,2,3,5,8.1
Jamal Shead,TOR,TOR @ DET,11/25/2024,L,17,8,3,9,33.3,2,3,66.7,0,0,-,1,1,2,4,1,0,0,4,11,19.4
Ausar Thompson,DET,DET vs. TOR,11/25/2024,W,16,5,2,8,25.0,1,3,33.3,0,0,-,0,3,3,4,0,0,1,4,-9,13.6
Marcus Sasser,DET,DET vs. TOR,11/25/2024,W,14,9,3,3,100,3,3,100,0,0,-,0,2,2,1,0,0,3,2,-22,9.9
Cole Anthony,ORL,ORL @ CHA,11/25/2024,W,27,16,6,12,50.0,2,4,50.0,2,3,66.7,1,7,8,4,0,0,1,4,15,30.6
Davion Mitchell,TOR,TOR @ DET,11/25/2024,L,31,3,1,7,14.3,1,5,20.0,0,0,-,1,0,1,3,1,0,0,3,-13,11.7
KJ Simpson,CHA,CHA vs. ORL,11/25/2024,L,8,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,2,0,-9,-2.0
Nick Smith Jr.,CHA,CHA vs. ORL,11/25/2024,L,9,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,-9,1.2
Jett Howard,ORL,ORL @ CHA,11/25/2024,W,23,0,0,4,0.0,0,4,0.0,0,0,-,0,2,2,2,0,0,0,1,16,5.4
Brandon Miller,CHA,CHA vs. ORL,11/25/2024,L,38,20,6,17,35.3,2,7,28.6,6,7,85.7,1,9,10,4,1,0,6,4,-13,35.0
Moussa Diabate,CHA,CHA vs. ORL,11/25/2024,L,32,2,1,2,50.0,0,0,-,0,0,-,3,5,8,0,2,4,3,2,-3,26.6
Keon Johnson,BKN,BKN @ GSW,11/25/2024,W,30,8,3,9,33.3,2,7,28.6,0,2,0.0,0,2,2,0,0,0,0,3,-2,10.4
Tyrese Martin,BKN,BKN @ GSW,11/25/2024,W,18,3,1,5,20.0,1,5,20.0,0,0,-,1,5,6,3,1,1,1,2,7,19.7
Cameron Payne,NYK,NYK @ DEN,11/25/2024,W,18,11,3,6,50.0,2,5,40.0,3,3,100,0,1,1,5,0,0,0,3,21,19.7
